timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
233184728,233183511,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012951437,12.613977,0.0,0.0,nan,0.11836766,0.118364975,0.09033869,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.029367302
233687030,233685757,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013034676,12.613977,0.0,0.0,nan,0.11771084,0.11758271,0.09033197,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.03122915
234185284,234184055,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012939523,12.613977,0.0,0.0,nan,0.11771084,0.11758271,0.0903259,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.028996088
234683616,234682339,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012981378,12.613977,0.0,0.0,nan,0.13013431,0.13074514,0.090320274,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.029281873
235185944,235184585,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012906472,12.613977,0.0,0.0,nan,0.13013431,0.13074514,0.09031515,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.0240332
235684411,235682874,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012898667,12.613977,0.0,0.0,nan,0.13013431,0.13074514,0.0903105,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.029334806
236186399,236185115,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012859727,12.613977,0.0,0.0,nan,0.13013431,0.13074514,0.090306245,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.028931899
236684604,236683401,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012633218,12.613977,0.0,0.0,nan,0.14431377,0.14658543,0.0903025,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.028671354
237186849,237185642,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012440392,12.613977,0.0,0.0,nan,0.14431377,0.14658543,0.090299085,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.02694184
237685181,237683926,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012376142,12.613977,0.0,0.0,nan,0.1460382,0.14569968,0.09029594,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.029950008
238183405,238182210,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012306968,12.613977,0.0,0.0,nan,0.1460382,0.14569968,0.09029312,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.028421562
238685716,238684448,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012322442,12.613977,0.0,0.0,nan,0.1460382,0.14569968,0.09029057,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.028546065
239183958,239182735,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012544627,12.613977,0.0,0.0,nan,0.1460382,0.14569968,0.090288274,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.029141273
239686178,239684966,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012725391,12.613977,0.0,0.0,nan,0.1460382,0.14569968,0.09028624,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.023941668
240184559,240183249,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01285731,12.613977,0.0,0.0,nan,0.1460382,0.14569968,0.09028458,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.029503064
240686670,240685481,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012689064,12.613977,0.0,0.0,nan,0.1460382,0.14569968,0.09028298,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.028833205
241185070,241183761,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012606067,12.613977,0.0,0.0,nan,0.10561097,0.10557936,0.0902815,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.03069174
241687199,241685994,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012629177,12.613977,0.0,0.0,nan,0.10363661,0.10365036,0.09028025,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.028751548
242185556,242184271,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012538246,12.613977,0.0,0.0,nan,0.10363661,0.10365036,0.09027918,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.022622973
242683765,242682548,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012578482,12.613977,0.0,0.0,nan,0.10363661,0.10365036,0.09027826,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.028481312
243186043,243184779,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012531011,12.613977,0.0,0.0,nan,0.10363661,0.10365036,0.090277515,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.025906565
243684367,243683053,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125397695,12.613977,0.0,0.0,nan,0.10363661,0.10365036,0.0902769,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.027265457
244186555,244185282,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012579962,12.613977,0.0,0.0,nan,0.127167,0.12709069,0.09027642,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.029029094
244684782,244683558,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01255443,12.613977,0.0,0.0,nan,0.111800194,0.11179421,0.09027602,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.027692115
245187081,245185786,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012743017,12.613977,0.0,0.0,nan,0.10973503,0.109729685,0.090275764,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.030847624
245685968,245684061,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012833395,12.613977,0.0,0.0,nan,0.11635342,0.11635187,0.09027558,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.029026037
246183691,246182333,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128651485,12.613977,0.0,0.0,nan,0.11126528,0.11126599,0.09027548,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.029022489
246685768,246684561,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012713713,12.613977,0.0,0.0,nan,0.11038996,0.11039277,0.09027547,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.028944794
247184225,247182835,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012755125,12.613977,0.0,0.0,nan,0.10953678,0.10953835,0.09027552,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.028885774
247686260,247685062,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012770521,12.613977,0.0,0.0,nan,0.108193144,0.10819444,0.09027563,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.030847047
248184603,248183333,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01324384,12.613977,0.0,0.0,nan,0.108193144,0.10819444,0.090275854,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.029511042
248686875,248685558,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014045195,12.613977,0.0,0.0,nan,0.10982217,0.109822474,0.0902761,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.03260577
249185102,249183827,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01525897,12.613977,0.0,0.0,nan,0.10640801,0.10640759,0.09027641,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.030807547
249683351,249682099,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01656726,12.613977,0.0,0.0,nan,0.10744956,0.10744966,0.09027676,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.03402097
250185626,250184322,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018444806,12.613977,0.0,0.0,nan,0.11009119,0.110091306,0.09027714,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.03643756
250683797,250682594,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019415786,12.613977,0.0,0.0,nan,0.11248732,0.11248753,0.09027754,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.037716553
251186222,251184820,0.0,0.0,0.0,0.0149182705,0.015189517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019614102,12.613977,0.0,0.0,nan,0.112912364,0.11291126,0.09027801,0.0025408315,0.0025386934,0.002541166,0.0,0.0,0.0,0.0,0.03799337
