timestamp,timestamp_sample,vel_body[0],vel_body[1],vel_ne[0],vel_ne[1],flow_uncompensated_integral[0],flow_uncompensated_integral[1],flow_compensated_integral[0],flow_compensated_integral[1],gyro_rate_integral[0],gyro_rate_integral[1],gyro_rate_integral[2]
10191252,10190721,0.0,0.0,0.0,0.0,1.7484555e-10,-0.002,0.0,0.0,2.6847374e-06,-2.9894557e-06,4.349555e-06
10211140,10207158,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.56152e-05,-5.89517e-06,-4.8711474e-05
10222942,10221770,0.0,0.0,0.0,0.0,-0.0,-0.0,-6.4226238e-06,-8.876853e-06,6.4226238e-06,8.876853e-06,-5.9113256e-05
10238842,10237668,0.0,0.0,0.0,0.0,-0.0,-0.0,-6.4226238e-06,-8.876853e-06,6.4226238e-06,8.876853e-06,-5.9113256e-05
10258517,10256009,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.9517902e-06,8.3197034e-07,8.806778e-07
10274629,10270827,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-4.3737728e-06,5.433048e-06,-1.6451608e-05
10290186,10286723,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-4.3737728e-06,5.433048e-06,-1.6451608e-05
10306339,10303006,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,6.5992076e-06,-5.1908155e-06,-6.346014e-05
10321746,10318503,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,6.5992076e-06,-5.1908155e-06,-6.346014e-05
10337613,10336285,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,6.5992076e-06,-5.1908155e-06,-6.346014e-05
10361303,10357872,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,8.073735e-06,-3.4843379e-06,-1.3468715e-05
10377103,10376193,0.0,0.0,0.0,0.0,-0.0019999999,-0.0020000003,-0.00199682,-0.001997051,-3.179808e-06,-2.9493788e-06,-3.2078653e-05
10393390,10391009,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-3.4410848e-06,-2.7404678e-06,-5.8369864e-05
10408820,10406879,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-3.4410848e-06,-2.7404678e-06,-5.8369864e-05
10425006,10423110,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,6.1861037e-06,-1.7606199e-06,-4.272393e-05
10448323,10445838,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,6.1861037e-06,-1.7606199e-06,-4.272393e-05
10464466,10461853,0.0,0.0,0.0,0.0,-0.002,-1.7484555e-10,-0.0020159206,4.046934e-06,1.592043e-05,-4.0471086e-06,-6.791888e-06
10479963,10477832,0.0,0.0,0.0,0.0,-0.002,-1.7484555e-10,-0.0020159206,4.046934e-06,1.592043e-05,-4.0471086e-06,-6.791888e-06
10499839,10496701,0.0,0.0,0.0,0.0,0.002,1.7484555e-10,0.0,0.0,6.127693e-06,1.394247e-05,-2.3658062e-05
10515847,10514951,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-9.81058e-06,-8.768809e-06,-5.4670934e-05
10531371,10527913,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-9.81058e-06,-8.768809e-06,-5.4670934e-05
10547162,10544029,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-9.81058e-06,-8.768809e-06,-5.4670934e-05
10563292,10559925,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,2.471843e-06,-4.0841633e-06,-3.3113054e-05
10578835,10576723,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,2.471843e-06,-4.0841633e-06,-3.3113054e-05
10598585,10595237,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.2103518e-06,4.8875204e-06,-3.86359e-05
10610461,10608022,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.2103518e-06,4.8875204e-06,-3.86359e-05
10626647,10624278,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,5.6303566e-06,-4.127937e-07,-3.208465e-05
10642146,10640140,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,5.6303566e-06,-4.127937e-07,-3.208465e-05
10657915,10656937,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.2677537e-05,-4.04715e-06,-2.7843591e-05
10677676,10675417,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.2677537e-05,-4.04715e-06,-2.7843591e-05
10689669,10688249,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-2.8320917e-06,1.0490812e-06,-3.794994e-05
10705933,10704471,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.536891e-06,-2.784988e-06,8.536891e-06,2.784988e-06,-3.9587252e-05
10721191,10720378,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.536891e-06,-2.784988e-06,8.536891e-06,2.784988e-06,-3.9587252e-05
10740994,10737275,0.0,0.0,0.0,0.0,-0.0,-0.0,-8.536891e-06,-2.784988e-06,8.536891e-06,2.784988e-06,-3.9587252e-05
10757359,10755591,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-7.5995996e-07,-2.345852e-07,-3.5518733e-05
10772922,10768824,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,2.5316278e-06,-5.268215e-06,-3.1350588e-05
10800398,10798099,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,2.5316278e-06,-5.268215e-06,-3.1350588e-05
10820124,10817075,0.0,0.0,0.0,0.0,1.7484555e-10,-0.002,1.1773322e-05,-0.0020076032,-1.1773147e-05,7.6030547e-06,-0.00011353042
10831984,10829906,0.0,0.0,0.0,0.0,1.7484555e-10,-0.002,1.1773322e-05,-0.0020076032,-1.1773147e-05,7.6030547e-06,-0.00011353042
10847752,10845837,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,4.799352e-06,3.2450089e-06,-2.5088462e-05
10863894,10861722,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-6.6714642e-06,7.165576e-06,-1.7263406e-05
10879381,10877594,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-6.6714642e-06,7.165576e-06,-1.7263406e-05
10903702,10902208,0.0,0.0,0.0,0.0,-1.7484555e-10,0.002,0.0,0.0,-8.088616e-06,3.597245e-06,-0.000100305144
10918919,10918127,0.0,0.0,0.0,0.0,-1.7484555e-10,0.002,0.0,0.0,-8.088616e-06,3.597245e-06,-0.000100305144
10938785,10936956,0.0,0.0,0.0,0.0,-1.7484555e-10,0.002,0.0,0.0,-8.088616e-06,3.597245e-06,-0.000100305144
10950562,10949876,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,5.7932734e-06,-9.178027e-08,-2.046722e-05
10966857,10965780,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.0734404e-06,-7.754643e-06,-4.1986386e-05
10998009,10995952,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.0734404e-06,-7.754643e-06,-4.1986386e-05
11010011,11008752,0.0,0.0,0.0,0.0,0.002,1.7484555e-10,0.0,0.0,-1.9080962e-06,-1.8848743e-06,-9.425335e-05
11041536,11038316,0.0,0.0,0.0,0.0,0.002,1.7484555e-10,0.0,0.0,-1.9080962e-06,-1.8848743e-06,-9.425335e-05
11061368,11057978,0.0,0.0,0.0,0.0,-0.002,-1.7484555e-10,-0.0019874752,6.0566354e-06,-1.2524855e-05,-6.05681e-06,-4.523775e-05
11073529,11070354,0.0,0.0,0.0,0.0,-0.0,-0.0,6.8062104e-06,-8.3641535e-06,-6.8062104e-06,8.3641535e-06,-3.7960297e-05
11088987,11086253,0.0,0.0,0.0,0.0,-0.0,-0.0,6.8062104e-06,-8.3641535e-06,-6.8062104e-06,8.3641535e-06,-3.7960297e-05
11112698,11110368,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-6.601173e-06,8.304164e-06,-4.66991e-05
11128696,11126411,0.0,0.0,0.0,0.0,-1.7484555e-10,0.002,6.725076e-06,0.001999322,-6.725251e-06,6.780842e-07,-5.0390146e-05
11144646,11142186,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,4.418653e-06,4.8255024e-06,-3.2772696e-05
11160179,11158057,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,4.418653e-06,4.8255024e-06,-3.2772696e-05
11179932,11176884,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,4.418653e-06,4.8255024e-06,-3.2772696e-05
