timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
274267331,-0.0004606893,0.008186376,0.009260655,0.0
274291028,-0.00035461618,0.008181573,0.009299275,0.0
274310776,-0.00020126911,0.008142093,0.009302543,0.0
274330588,-9.583024e-05,0.008093619,0.009318811,0.0
274350318,5.0905543e-05,0.008138798,0.009340978,0.0
274370090,0.00021395214,0.008153822,0.0093327,0.0
274389870,0.00030600093,0.00811752,0.009348848,0.0
274409647,0.0004296907,0.008148173,0.009351972,0.0
274429405,0.00046715557,0.008147074,0.009339082,0.0
274449212,0.000490882,0.00809518,0.009349026,0.0
274472911,0.00058651046,0.0081159845,0.009345654,0.0
274488726,0.00062668073,0.008140837,0.009336727,0.0
274508491,0.00071307237,0.008111108,0.00934363,0.0
274532257,0.0007373128,0.00810707,0.009330775,0.0
274548071,0.0007025831,0.008098031,0.009317206,0.0
274567861,0.0007912187,0.008047583,0.009312944,0.0
274591574,0.0008037122,0.008003564,0.009291277,0.0
274611336,0.00085776683,0.007954586,0.009286423,0.0
274627164,0.0008522329,0.007891461,0.009280473,0.0
274650846,0.0009263981,0.007799938,0.009253256,0.0
274670615,0.0009481606,0.007713,0.009247178,0.0
274690402,0.0009147706,0.007654081,0.009220367,0.0
274710168,0.00073796633,0.0075714965,0.009184872,0.0
274729933,0.00067329395,0.007506788,0.009181483,0.0
274749705,0.0005516769,0.007446223,0.009157727,0.0
274769478,0.00038401553,0.007350261,0.009126379,0.0
274789261,0.0002934362,0.007227456,0.009133753,0.0
274809028,0.00020524964,0.007109719,0.0091019105,0.0
274828793,0.0001548826,0.006908033,0.009100687,0.0
274848563,5.68036e-05,0.006665284,0.009100509,0.0
274872297,5.181004e-05,0.00642453,0.009079027,0.0
274892109,-1.4059994e-05,0.006220282,0.009100427,0.0
274907879,-1.1069137e-05,0.006106125,0.009080618,0.0
274931645,-7.156995e-06,0.0059961276,0.009080457,0.0
274951383,-7.6866e-06,0.005881761,0.009104057,0.0
274967201,6.1623705e-06,0.005804369,0.009083255,0.0
274990922,-2.2447764e-05,0.0056367703,0.009111872,0.0
275010691,-9.121342e-05,0.005525805,0.009104916,0.0
275030496,-0.00011111208,0.0054321615,0.009098369,0.0
275050274,-0.00023948947,0.0052719717,0.00913535,0.0
275070007,-0.0003510569,0.0052297404,0.009103958,0.0
275089794,-0.00040980143,0.0051853918,0.009129636,0.0
275109603,-0.00052846095,0.0051094354,0.009149293,0.0
275129360,-0.000612158,0.005155183,0.009122149,0.0
275149093,-0.0007597937,0.0051769353,0.009169007,0.0
275172823,-0.00089995674,0.0052305255,0.009135917,0.0
275188636,-0.0010537,0.0052741985,0.009137247,0.0
275208413,-0.0011595146,0.0052949595,0.009165285,0.0
275232194,-0.0013508641,0.0053871376,0.009121565,0.0
275247954,-0.0014198291,0.0054455423,0.009146482,0.0
275267777,-0.0015499062,0.005549246,0.009151378,0.0
275291465,-0.0016168695,0.0057984875,0.009121618,0.0
275311249,-0.0016718424,0.005937388,0.009154212,0.0
275327038,-0.0017328485,0.006056653,0.009127177,0.0
275350771,-0.0018168757,0.0062195263,0.00911837,0.0
275370537,-0.001805815,0.006254276,0.009128018,0.0
275390326,-0.0018637879,0.0063343565,0.009089052,0.0
275410082,-0.001940381,0.006372172,0.009100464,0.0
275429851,-0.0018958155,0.0063673565,0.00907665,0.0
275449624,-0.0019106463,0.0063742474,0.009050981,0.0
275469394,-0.0019743096,0.0063713044,0.009059289,0.0
275489209,-0.002036464,0.006387237,0.008992352,0.0
275508937,-0.0021345757,0.006393381,0.008996794,0.0
275528710,-0.0021856865,0.0064407424,0.008985188,0.0
275548481,-0.0022192125,0.006536315,0.008956938,0.0
275572226,-0.0022378615,0.0066244546,0.00895946,0.0
275591995,-0.002188287,0.0067134635,0.008918717,0.0
275607796,-0.0022486208,0.0067499317,0.008919914,0.0
275631551,-0.0022132217,0.006771693,0.008901881,0.0
275651297,-0.002223462,0.0067798547,0.008887409,0.0
275667142,-0.0022411703,0.0067801173,0.0089008715,0.0
275690858,-0.002228898,0.0068383277,0.008865494,0.0
275710607,-0.0022247552,0.0068733143,0.008874638,0.0
275730484,-0.0022028221,0.006863195,0.008854559,0.0
275750188,-0.002148821,0.0068602543,0.008852889,0.0
275769923,-0.0020517865,0.0068483837,0.008862836,0.0
275789693,-0.0019724641,0.006852117,0.008851514,0.0
275809466,-0.0018425719,0.006870586,0.008868263,0.0
275829241,-0.0016826817,0.0068759006,0.008874958,0.0
275849013,-0.0016007804,0.0068943454,0.008891761,0.0
275872739,-0.0014660277,0.006815374,0.008920012,0.0
275888559,-0.0013211357,0.0067076664,0.008948076,0.0
275908333,-0.0013008083,0.006613643,0.008974406,0.0
275932110,-0.0011560664,0.00646666,0.008987842,0.0
275947880,-0.0010419687,0.0063731964,0.009010718,0.0
275967682,-0.0009731202,0.006287827,0.009025731,0.0
275991366,-0.0007870751,0.0061478703,0.009045027,0.0
