timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
157103458,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.016195385,0.0008686355,3.7460286e-06,0.2518164,-0.15256098,-9.874328,0.013800211,0.002245883,0.0053786878,0.00020933701,0.00013386918,0.0009920846,2.268815e-06,6.113722e-07,3.5031823e-07,48.09151,48.09151
158131924,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.017523546,0.00088137237,3.826313e-06,0.25211364,-0.1495103,-9.869473,0.0137272915,0.0021409872,0.0054997536,0.00015898424,0.0001534601,0.00095375156,2.7108542e-06,7.6306975e-07,3.610426e-07,48.098915,48.098915
159160054,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.017956492,0.0009085648,3.8067074e-06,0.25212303,-0.15262538,-9.875204,0.013511785,0.002125936,0.0055985157,0.00021223322,0.00018458528,0.00086257554,2.3534799e-06,7.185349e-07,1.8190352e-07,48.10007,48.10007
160188386,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.016503345,0.00086900045,3.6660044e-06,0.2518954,-0.14950337,-9.874196,0.013689402,0.0022071656,0.005638149,0.00021047961,0.00013385918,0.0011438276,1.9301626e-06,5.5884107e-07,5.2754103e-07,48.119675,48.119675
161113793,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.014852969,0.0007858316,3.312601e-06,0.25212067,-0.15255609,-9.873521,0.013744814,0.0021030009,0.005644771,0.00017810361,9.5621916e-05,0.001093142,1.1482842e-06,4.809558e-07,3.104399e-07,48.122864,48.122864
162142070,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.015529687,0.00081900024,3.4081534e-06,0.25355002,-0.1526027,-9.874182,0.013709508,0.0022599108,0.0053086863,0.00013077894,0.0001352836,0.0010767332,1.6692217e-06,5.05553e-07,3.1682669e-07,48.11873,48.11873
163170364,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.017651347,0.00088411616,3.670403e-06,0.25158852,-0.15027617,-9.87699,0.013641631,0.0023518386,0.0053819316,0.00020158273,0.00011037437,0.0010769459,2.6857833e-06,7.656217e-07,3.4158063e-07,48.11757,48.11757
164198738,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.019607719,0.0009492411,4.083859e-06,0.25203508,-0.15230183,-9.875065,0.01372015,0.0020841358,0.00537784,0.00026391196,0.00013006949,0.00087897555,2.0681211e-06,5.356963e-07,2.5681024e-07,48.145943,48.145943
165124264,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.019609919,0.00093801535,3.916881e-06,0.25153047,-0.15193403,-9.87892,0.013486431,0.0022017418,0.00539716,0.00015119443,0.000110275534,0.0009226773,2.0996736e-06,6.049658e-07,3.2156083e-07,48.14355,48.14355
166152421,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.019728687,0.0009595116,4.077092e-06,0.25136468,-0.15056342,-9.87655,0.013492152,0.0022190632,0.005462695,0.0001856259,0.000114983784,0.0009239129,2.2319234e-06,8.2795543e-07,2.726233e-07,48.1408,48.1408
167180686,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.019784737,0.00094810524,4.030142e-06,0.25078312,-0.15152808,-9.874563,0.013515241,0.0023443212,0.0054947166,0.00016711668,9.9832156e-05,0.0009819232,2.2073914e-06,8.199821e-07,2.687096e-07,48.165474,48.165474
168106140,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.020181198,0.00095469464,3.977732e-06,0.25168592,-0.14974757,-9.873261,0.013623727,0.0022106078,0.0054818303,0.00019440043,0.00016984894,0.0009835268,2.263346e-06,5.459418e-07,3.34309e-07,48.173603,48.173603
169134470,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.01899079,0.0009462582,4.0526884e-06,0.25122592,-0.14896388,-9.876993,0.013617175,0.002057914,0.0055355206,0.00017760319,9.880785e-05,0.00092913705,1.8260575e-06,8.4938387e-07,4.7477232e-07,48.172283,48.172283
170162735,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.020049552,0.0009857032,4.2630954e-06,0.2526369,-0.15164554,-9.873126,0.013498239,0.002137935,0.0055723134,0.00020438991,6.083206e-05,0.00093924016,2.4795413e-06,7.3544373e-07,2.9223287e-07,48.168377,48.168377
171191070,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.018898143,0.00092753954,3.8814733e-06,0.25288165,-0.15340927,-9.874859,0.013579498,0.0021217817,0.0054022674,0.00018704351,9.61174e-05,0.00094779243,1.5561459e-06,7.492319e-07,3.5200404e-07,48.178688,48.178688
172116475,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.019101348,0.00089357735,3.7687707e-06,0.25060317,-0.15177976,-9.875665,0.013580582,0.0020812778,0.0056313034,0.00018581774,6.746582e-05,0.000905213,2.1841615e-06,5.106531e-07,3.4915035e-07,48.206844,48.206844
173144784,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.016759025,0.00085681124,3.586314e-06,0.25345048,-0.149914,-9.872066,0.0134383375,0.0021482664,0.0054496173,0.00017544336,0.00013292125,0.0010152047,1.9718689e-06,5.167913e-07,2.3371263e-07,48.2088,48.2088
