timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
112279302,112256436,6780449,187.87419,48.01,99088.65,1.177337
112365588,112342955,6780449,187.62582,48.01,99091.586,1.177372
112452388,112429565,6780449,187.88742,48.01,99088.516,1.1773355
112538784,112516156,6780449,187.68396,48.01,99090.914,1.1773639
112625386,112602761,6780449,187.85835,48.01,99088.84,1.1773393
112711974,112689357,6780449,187.83984,48.02,99089.06,1.1773419
112798604,112775956,6780449,187.85307,48.01,99088.91,1.17734
112885198,112862561,6780449,187.96141,48.01,99087.63,1.177325
112971777,112949158,6780449,187.82137,48.02,99089.29,1.1773447
113058419,113035767,6780449,188.00104,48.02,99087.17,1.1773195
113144982,113122485,6780449,188.10408,48.02,99085.95,1.177305
113231594,113208956,6780449,188.00104,48.01,99087.17,1.1773195
113318443,113295563,6780449,187.90855,48.02,99088.26,1.1773324
113404811,113382158,6780449,187.94026,48.02,99087.87,1.1773278
113491400,113468760,6780449,187.91385,48.03,99088.195,1.1773317
113577980,113555360,6780449,187.75002,48.03,99090.125,1.1773546
113664597,113641976,6780449,187.95348,48.03,99087.72,1.1773261
113751214,113728563,6780449,187.76323,48.03,99089.95,1.1773525
113837780,113815159,6780449,188.0301,48.03,99086.81,1.1773152
113924507,113901820,6780449,187.8927,48.039997,99088.44,1.1773345
114010976,113988359,6780449,187.80815,48.039997,99089.445,1.1773466
114097630,114074957,6780449,188.01424,48.039997,99087.016,1.1773177
114184195,114161565,6780449,187.96933,48.039997,99087.54,1.1773238
114270774,114248156,6780449,188.04858,48.03,99086.61,1.1773129
114357389,114334755,6780449,188.01955,48.039997,99086.94,1.1773168
114443978,114421361,6780449,187.98518,48.03,99087.34,1.1773216
114530575,114507958,6780449,187.97197,48.05,99087.516,1.1773236
114617217,114594562,6780449,187.97197,48.039997,99087.5,1.1773235
114703802,114681156,6780449,188.10408,48.039997,99085.94,1.1773049
114790616,114767897,6780449,188.0116,48.05,99087.03,1.1773179
114876991,114854364,6780449,187.99312,48.05,99087.266,1.1773206
114963727,114940957,6780449,187.95084,48.05,99087.76,1.1773264
115050221,115027562,6780449,187.80022,48.05,99089.52,1.1773474
115136798,115114158,6780449,188.0803,48.059998,99086.24,1.1773084
115223415,115200757,6780449,187.9482,48.059998,99087.8,1.1773269
115309988,115287359,6780449,188.03802,48.059998,99086.73,1.1773143
115396578,115373961,6780449,187.92705,48.059998,99088.04,1.1773298
115483207,115460569,6780449,187.92177,48.059998,99088.09,1.1773305
115569801,115547168,6780449,187.88478,48.059998,99088.54,1.1773357
115656388,115633843,6780449,187.91913,48.07,99088.15,1.1773311
115742977,115720358,6780449,187.98518,48.07,99087.37,1.1773219
115829859,115806955,6780449,187.9429,48.07,99087.85,1.1773276
115916211,115893560,6780449,188.05124,48.07,99086.555,1.1773121
116002775,115980156,6780449,187.82137,48.07,99089.27,1.1773444
116089481,116066758,6780449,187.89534,48.07,99088.42,1.1773343
116175976,116153359,6780449,187.9984,48.07,99087.2,1.1773199
116262583,116239957,6780449,187.81343,48.079998,99089.39,1.1773459
