timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
151405059,4.753418,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
151904758,4.6873536,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
152405759,4.6937985,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
152904973,4.705078,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
153404757,4.7469726,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
153904758,4.7066894,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
154404766,4.601953,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
154906117,4.6325684,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
155404773,4.7566404,3.2919433,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
155904757,4.703467,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
156404769,4.724414,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
156904757,4.705078,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
157405042,4.650293,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
157904761,4.650293,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
158405295,4.748584,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
158904772,4.674463,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
159404759,4.7518067,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
159904758,4.738916,3.2919433,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
160404756,4.6599607,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
160904893,4.753418,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
161404758,4.685742,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
161905820,4.680908,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
162404843,4.6873536,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
162904757,4.6970215,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
163405055,4.729248,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
163904760,4.724414,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
164405365,4.6970215,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
164904757,4.679297,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
165405662,4.674463,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
165904810,4.74375,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
166404786,4.7308593,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
166905073,4.7115235,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
167404757,4.703467,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
167905843,4.690576,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
168404836,4.690576,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
168906272,4.6970215,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
169404757,4.688965,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
169904757,4.642236,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
170405367,4.6921873,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
170904757,4.7211914,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
171406283,4.679297,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
171904851,4.7356935,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
172404757,4.606787,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
172904758,4.7228026,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
173404758,4.6535153,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
173905136,4.7421384,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
174404757,4.666406,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
174905430,4.666406,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
175404770,4.680908,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
175914975,4.6937985,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
176404758,4.6873536,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
176904775,4.703467,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
177405658,4.6825194,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
177904756,4.601953,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
178405642,4.6873536,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
178904759,4.6454587,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
179404839,4.7324705,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
179905062,4.601953,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
180404766,4.6583495,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
180905581,4.7115235,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
181404756,4.748584,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
181905844,4.724414,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
182404771,4.6438475,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
182904757,4.637402,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
183404965,4.6712403,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
183904757,4.6680174,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
184405238,4.640625,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
184904775,4.6921873,3.2919433,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
185404758,4.6825194,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
185904758,4.680908,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
186404757,4.685742,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
186904776,4.655127,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
187404757,4.6470704,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
187905702,4.700244,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
188404758,4.738916,3.2919433,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
188904757,4.627734,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
189404925,4.676074,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
189904757,4.664795,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
190405310,4.7179685,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
190904767,4.705078,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
191405528,4.679297,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
191904768,4.6954103,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
192404756,4.651904,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
192905238,4.4375978,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
193404757,4.685742,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
193905670,4.664795,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
194404757,4.71958,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
194905694,4.642236,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
195404760,4.7115235,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
195904757,4.6696286,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
196405314,4.7469726,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
196904757,4.7356935,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
197405643,4.6631837,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
197904807,4.7066894,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
198404757,4.6937985,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
198904757,4.688965,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
199404757,4.6680174,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
199905189,4.6696286,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
200404758,4.6245117,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
200906080,4.724414,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
201404767,4.487549,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
201904758,4.6873536,3.2919433,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
202404904,4.6325684,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
202904766,4.666406,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
203405921,4.6728516,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
