timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
274066539,0.009411191,0.011714106,0.33946136,-4.7586514e-14,0.98560715,0.0036485416,0.0065676295,0.16888496,0.0,0.0,-0.14118491,0,0,0,0,0
274074336,0.007252848,0.011202666,0.33946133,-3.8233617e-14,0.9856118,0.0026281006,0.006133331,0.1688931,0.0,0.0,-0.14104626,0,0,0,0,0
274086015,0.006851078,0.011411067,0.33946133,-3.8233617e-14,0.98561174,0.0024125034,0.0062021036,0.16889387,0.0,0.0,-0.1407773,0,0,0,0,0
274094059,0.00767776,0.011701229,0.33946133,-3.064819e-14,0.98560995,0.0027953875,0.006414906,0.16889063,0.0,0.0,-0.14191258,0,0,0,0,0
274105891,0.0073684696,0.011344473,0.33946136,-3.064819e-14,0.9856113,0.0026731016,0.006212978,0.16889244,0.0,0.0,-0.14157891,0,0,0,0,0
274113733,0.007433993,0.011343758,0.33946133,-2.4602446e-14,0.98561114,0.0027054527,0.0062181596,0.16889223,0.0,0.0,-0.14070632,0,0,0,0,0
274125596,0.00705092,0.011585746,0.33946133,-2.4602446e-14,0.9856111,0.002496232,0.006305062,0.16889288,0.0,0.0,-0.14054878,0,0,0,0,0
274133765,0.006025986,0.011479397,0.3394613,-1.9680777e-14,0.9856125,0.0020001214,0.0061661005,0.16889629,0.0,0.0,-0.14160812,0,0,0,0,0
274145378,0.0055697905,0.0116462745,0.33946133,-1.9680777e-14,0.9856126,0.0017612102,0.0062098126,0.16889739,0.0,0.0,-0.14189737,0,0,0,0,0
274157372,0.0053416737,0.011542832,0.33946136,-1.5190326e-14,0.985613,0.00165753,0.006139572,0.16889828,0.0,0.0,-0.1421783,0,0,0,0,0
274165299,0.006518156,0.011386666,0.3394613,-1.5190326e-14,0.9856122,0.0022504982,0.006161965,0.16889496,0.0,0.0,-0.1419894,0,0,0,0,0
