timestamp,timestamp_sample,device_id,error_count,pressure,temperature
32607083,32606010,6780449,0,990.7143,47.78
32693530,32692606,6780449,0,990.7271,47.789997
32823434,32822509,6780449,0,990.7501,47.789997
32910035,32909110,6780449,0,990.7576,47.789997
32996633,32995706,6780449,0,990.73663,47.789997
33126542,33125606,6780449,0,990.76996,47.789997
33213140,33212217,6780449,0,990.7669,47.8
33299733,33298810,6780449,0,990.74945,47.789997
33429689,33428705,6780449,0,990.751,47.8
33516228,33515305,6780449,0,990.74115,47.789997
33602868,33601910,6780449,0,990.764,47.8
33732739,33731807,6780449,0,990.7722,47.8
33819334,33818409,6780449,0,990.73035,47.8
33905936,33905006,6780449,0,990.745,47.8
33992541,33991606,6780449,0,990.7607,47.8
34122439,34121512,6780449,0,990.7472,47.809998
34209034,34208111,6780449,0,990.758,47.8
34295818,34294705,6780449,0,990.7439,47.809998
34425546,34424610,6780449,0,990.77295,47.809998
34512171,34511243,6780449,0,990.74457,47.809998
34598736,34597810,6780449,0,990.764,47.809998
34728634,34727706,6780449,0,990.76996,47.809998
34815239,34814312,6780449,0,990.75653,47.809998
34901895,34900972,6780449,0,990.7543,47.809998
35031731,35030806,6780449,0,990.751,47.809998
35118427,35117407,6780449,0,990.7501,47.82
35204932,35204007,6780449,0,990.74786,47.82
35291543,35290606,6780449,0,990.7782,47.82
35421446,35420517,6780449,0,990.7822,47.829998
35508035,35507109,6780449,0,990.77216,47.829998
35594633,35593706,6780449,0,990.736,47.829998
35724553,35723608,6780449,0,990.7648,47.829998
35811139,35810217,6780449,0,990.728,47.829998
35897729,35896806,6780449,0,990.7841,47.829998
36027631,36026706,6780449,0,990.7535,47.829998
36114229,36113305,6780449,0,990.779,47.829998
36200840,36199909,6780449,0,990.7685,47.829998
36330730,36329806,6780449,0,990.74866,47.829998
36417330,36416407,6780449,0,990.75574,47.829998
36503937,36503009,6780449,0,990.7715,47.829998
36590565,36589642,6780449,0,990.77515,47.84
36720431,36719508,6780449,0,990.77515,47.84
36807151,36806107,6780449,0,990.74677,47.84
36893633,36892708,6780449,0,990.77484,47.84
37023534,37022608,6780449,0,990.7857,47.84
37110147,37109221,6780449,0,990.77747,47.84
37196738,37195809,6780449,0,990.7782,47.84
37326648,37325721,6780449,0,990.76575,47.85
37413234,37412310,6780449,0,990.761,47.85
37499835,37498908,6780449,0,990.7543,47.84
37629837,37628812,6780449,0,990.7662,47.85
37716332,37715406,6780449,0,990.7482,47.85
37802951,37802006,6780449,0,990.7693,47.85
37932839,37931910,6780449,0,990.77515,47.86
38019437,38018507,6780449,0,990.75684,47.86
38106042,38105111,6780449,0,990.77295,47.85
38192657,38191732,6780449,0,990.79944,47.85
38322803,38321867,6780449,0,990.75305,47.86
38409161,38408233,6780449,0,990.7804,47.86
38495891,38494805,6780449,0,990.7557,47.86
38625634,38624705,6780449,0,990.7766,47.86
38712229,38711306,6780449,0,990.78485,47.86
38798841,38797912,6780449,0,990.7718,47.86
38928731,38927807,6780449,0,990.7718,47.86
39015332,39014407,6780449,0,990.7766,47.86
39101982,39101055,6780449,0,990.786,47.87
39231831,39230908,6780449,0,990.7987,47.87
39318568,39317506,6780449,0,990.77856,47.87
39405034,39404111,6780449,0,990.77026,47.87
39491660,39490710,6780449,0,990.79047,47.87
39621536,39620611,6780449,0,990.7729,47.87
39708150,39707222,6780449,0,990.79535,47.879997
39794746,39793809,6780449,0,990.78265,47.87
39924633,39923706,6780449,0,990.76465,47.87
40011230,40010306,6780449,0,990.81287,47.879997
40097831,40096906,6780449,0,990.79004,47.879997
40227731,40226807,6780449,0,990.82,47.879997
40314329,40313405,6780449,0,990.75824,47.879997
40400934,40400007,6780449,0,990.78894,47.879997
40530835,40529907,6780449,0,990.78296,47.89
40617435,40616507,6780449,0,990.7864,47.879997
40704035,40703106,6780449,0,990.7882,47.89
40790647,40789712,6780449,0,990.7855,47.89
40920529,40919606,6780449,0,990.75977,47.879997
41007228,41006215,6780449,0,990.7961,47.89
41093793,41092811,6780449,0,990.795,47.89
41223679,41222748,6780449,0,990.774,47.89
41310242,41309308,6780449,0,990.7946,47.899998
41396832,41395908,6780449,0,990.833,47.899998
41526733,41525809,6780449,0,990.81586,47.89
41613329,41612405,6780449,0,990.8068,47.899998
41699960,41699030,6780449,0,990.7772,47.899998
41829846,41828911,6780449,0,990.8191,47.899998
41916429,41915505,6780449,0,990.8483,47.92
42003034,42002111,6780449,0,990.7948,47.91
42089635,42088706,6780449,0,990.81287,47.91
42219535,42218609,6780449,0,990.80347,47.899998
42306143,42305220,6780449,0,990.81287,47.91
42392741,42391807,6780449,0,990.83374,47.91
42522866,42521938,6780449,0,990.79114,47.92
42609246,42608323,6780449,0,990.8068,47.92
42695960,42694905,6780449,0,990.81506,47.91
42825739,42824809,6780449,0,990.7878,47.92
42912332,42911409,6780449,0,990.7878,47.92
42998936,42998005,6780449,0,990.8189,47.92
43128845,43127911,6780449,0,990.79565,47.92
43215451,43214509,6780449,0,990.78143,47.91
43302045,43301114,6780449,0,990.8203,47.93
43431947,43431021,6780449,0,990.8058,47.92
43518574,43517606,6780449,0,990.8079,47.92
43605139,43604215,6780449,0,990.805,47.93
43691731,43690806,6780449,0,990.80457,47.93
43821640,43820713,6780449,0,990.81506,47.93
