timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
273227540,2490386,2490386,3670026,0,0,0.059844702,0.059844688,0.0,0.0,2490386,2490386,3670026,0,0,0.0036454361,0.0036454345,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
273429212,2490386,2490386,3670026,0,0,0.054436564,0.054436564,0.0,0.0,2490386,2490386,3670026,0,0,0.0023274685,0.0023274685,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
273631019,2490386,2490386,3670026,0,0,0.053199135,0.0531992,0.0,0.0,2490386,2490386,3670026,0,0,0.004756582,0.0047565834,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
273832791,2490386,2490386,3670026,0,0,0.052457962,0.05245796,0.0,0.0,2490386,2490386,3670026,0,0,0.0023225418,0.0023225432,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
274030425,2490386,2490386,3670026,0,0,0.044149987,0.044150006,0.0,0.0,2490386,2490386,3670026,0,0,0.0028159127,0.0028159122,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
274232098,2490386,2490386,3670026,0,0,0.04731336,0.04731342,0.0,0.0,2490386,2490386,3670026,0,0,0.002524708,0.0025247084,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
274429650,2490386,2490386,3670026,0,0,0.035934456,0.035934433,0.0,0.0,2490386,2490386,3670026,0,0,0.0067744884,0.0067744916,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
274627471,2490386,2490386,3670026,0,0,0.055555396,0.055555403,0.0,0.0,2490386,2490386,3670026,0,0,0.0024551735,0.0024551738,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
274829040,2490386,2490386,3670026,0,0,0.04619389,0.046193838,0.0,0.0,2490386,2490386,3670026,0,0,0.0014423702,0.0014423702,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
275030762,2490386,2490386,3670026,0,0,0.040918127,0.040918127,0.0,0.0,2490386,2490386,3670026,0,0,0.0015405513,0.0015405515,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
