timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
170796711,inf,0,1,1,1,0,0,1,0,0,1
171797321,inf,0,1,1,1,0,0,1,0,0,1
172805868,inf,0,1,1,1,0,0,1,0,0,1
173805905,inf,0,1,1,1,0,0,1,0,0,1
174806420,inf,0,1,1,1,0,0,1,0,0,1
175807008,inf,0,1,1,1,0,0,1,0,0,1
176815510,inf,0,1,1,1,0,0,1,0,0,1
177816180,inf,0,1,1,1,0,0,1,0,0,1
178816788,inf,0,1,1,1,0,0,1,0,0,1
179825920,inf,0,1,1,1,0,0,1,0,0,1
180838346,inf,0,1,1,1,0,0,1,0,0,1
181846228,inf,0,1,1,1,0,0,1,0,0,1
182847413,inf,0,1,1,1,0,0,1,0,0,1
183855564,inf,0,1,1,1,0,0,1,0,0,1
184856084,inf,0,1,1,1,0,0,1,0,0,1
185857313,inf,0,1,1,1,0,0,1,0,0,1
186857923,inf,0,1,1,1,0,0,1,0,0,1
187866489,inf,0,1,1,1,0,0,1,0,0,1
188866501,inf,0,1,1,1,0,0,1,0,0,1
189866983,inf,0,1,1,1,0,0,1,0,0,1
190876159,inf,0,1,1,1,0,0,1,0,0,1
191884571,inf,0,1,1,1,0,0,1,0,0,1
192896493,inf,0,1,1,1,0,0,1,0,0,1
193897040,inf,0,1,1,1,0,0,1,0,0,1
194905607,inf,0,1,1,1,0,0,1,0,0,1
195906239,inf,0,1,1,1,0,0,1,0,0,1
196906836,inf,0,1,1,1,0,0,1,0,0,1
197915884,inf,0,1,1,1,0,0,1,0,0,1
198916569,inf,0,1,1,1,0,0,1,0,0,1
199917095,inf,0,1,1,1,0,0,1,0,0,1
200917127,inf,0,1,1,1,0,0,1,0,0,1
201926345,inf,0,1,1,1,0,0,1,0,0,1
202926892,inf,0,1,1,1,0,0,1,0,0,1
203935076,inf,0,1,1,1,0,0,1,0,0,1
204935640,inf,0,1,1,1,0,0,1,0,0,1
205255940,inf,0,1,1,1,1,1,1,0,0,1
206257076,inf,0,1,1,1,1,1,1,0,0,1
207257084,inf,0,1,1,1,1,1,1,0,0,1
207814674,inf,0,1,1,1,0,0,1,0,0,1
208815979,inf,0,1,1,1,0,0,1,0,0,1
209677504,inf,0,1,1,1,1,0,1,0,0,1
209843447,inf,0,1,0,0,1,0,1,0,0,1
209856102,inf,0,0,0,0,1,0,1,0,0,1
210864062,inf,0,0,0,0,1,0,1,0,0,1
211864663,inf,0,0,0,0,1,0,0,0,0,1
212865377,inf,0,0,0,0,1,0,0,1,0,1
213865803,inf,0,0,0,0,1,0,0,1,0,0
214866545,inf,0,0,0,0,1,0,0,1,0,0
215866933,inf,0,0,0,0,1,0,0,0,0,0
216875351,inf,0,0,0,0,1,0,0,0,0,0
217876549,inf,0,0,0,0,1,0,0,0,0,0
218884399,inf,0,0,0,0,1,0,0,1,0,0
219884855,inf,0,0,0,0,1,0,0,0,0,0
220885452,inf,0,0,0,0,1,0,0,0,0,0
221886079,inf,0,0,0,0,1,0,0,0,0,0
222886551,inf,0,0,0,0,1,0,0,0,0,0
223887111,inf,0,0,0,0,1,0,0,0,0,0
224895625,inf,0,0,0,0,1,0,0,0,0,1
225896892,inf,0,0,0,0,1,0,0,0,0,1
226904701,inf,0,0,0,0,1,0,0,0,0,1
227905273,inf,0,0,0,0,1,0,0,0,0,1
228905799,inf,0,0,0,0,1,0,0,0,0,1
229906355,inf,0,0,0,0,1,0,0,0,0,1
230906894,inf,0,0,0,0,1,0,0,0,0,1
231915315,inf,0,0,0,0,1,0,0,0,0,1
232915949,inf,0,0,0,0,1,0,0,0,0,1
233916368,inf,0,0,0,0,1,0,0,0,0,1
234924933,inf,0,0,0,0,1,0,0,0,0,1
235925405,inf,0,0,0,0,1,0,0,0,0,1
236925925,inf,0,0,0,0,1,0,0,0,0,1
237926389,inf,0,0,0,0,1,0,0,0,0,1
238926938,inf,0,0,0,0,1,0,0,0,0,1
239935648,inf,0,0,0,0,1,0,0,0,0,1
240936132,inf,0,0,0,0,1,0,0,0,0,1
241936458,inf,0,0,0,0,1,0,0,0,0,1
242936874,inf,0,0,0,0,1,0,0,0,0,1
243945310,inf,0,0,0,0,1,0,0,0,0,1
244945872,inf,0,0,0,0,1,0,0,0,0,1
