timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
18330065,18329385,0.15942052,-0.07080475,-9.797112
18381543,18380798,0.14489654,-0.03151792,-9.768079
18428928,18428256,0.15005858,-0.012363379,-9.795526
18480405,18479669,0.058930255,-0.04182117,-9.800491
18531756,18531082,0.22439842,-0.03080623,-9.832492
18579221,18578546,0.099001564,-0.031828057,-9.751532
18626831,18625999,0.09556008,-0.03398256,-9.764268
18682036,18681366,0.17787957,-0.02294104,-9.795388
18729493,18728824,0.12253981,-0.033495195,-9.794142
18780911,18780237,0.11178217,-0.028786063,-9.817649
18832339,18831650,0.14149335,-0.010157825,-9.816597
18879807,18879111,0.1669587,-0.039875705,-9.801385
18931193,18930521,0.044583805,-0.025364999,-9.789781
18978694,18977979,0.22583489,-0.02839855,-9.823377
19030075,19029395,0.07085268,-0.026692884,-9.821489
19081485,19080805,0.10040421,-0.026318062,-9.800285
19129008,19128263,0.25299537,-0.0046657915,-9.766813
19180360,19179675,0.03328362,-0.07180025,-9.776518
19231841,19231091,0.15207142,-0.021384748,-9.815759
19279226,19278546,0.16953498,0.01317329,-9.842286
19326698,19326004,0.085427396,-0.07263886,-9.793978
19382091,19381373,0.13622126,-0.011198955,-9.786562
19429507,19428830,0.14082259,0.0033660345,-9.765825
19480920,19480243,0.11692085,-0.08535882,-9.77419
19532400,19531656,0.093423784,0.024531765,-9.882387
19579792,19579114,0.08831498,0.013507422,-9.878038
19631294,19630527,0.14206539,-0.1334176,-9.716052
19678707,19677987,0.43608767,0.18282655,-9.759511
19730142,19729400,-0.030472573,-0.37332854,-9.800856
19781486,19780811,-0.02559939,0.14709365,-9.851275
19828943,19828269,0.32715622,0.015409646,-9.893686
19880356,19879682,0.102160335,-0.19003779,-9.789989
19931771,19931095,0.3516766,0.010535059,-9.812174
19979303,19978553,0.13288614,0.1985278,-9.805388
20026806,20026011,-0.05665303,-0.3521559,-9.7689495
20082077,20081379,0.14993727,0.1589288,-9.732017
20129608,20128838,0.11038436,0.034672905,-9.747404
20180996,20180250,0.17825285,-0.23376194,-9.829144
20232415,20231663,0.09187871,0.11421196,-9.793327
20279795,20279121,0.0092517175,0.012827323,-9.744491
20331309,20330534,0.26984608,-0.18549998,-9.838328
20378758,20377992,0.25734842,0.0937713,-9.885235
20430157,20429405,0.10928774,-0.046543736,-9.953382
20481490,20480818,0.0032742147,-0.1162941,-9.854812
20529022,20528276,0.0422692,0.06347261,-9.898411
20580422,20579689,0.23494725,-0.010665908,-9.932582
20631778,20631102,0.06440432,-0.07651169,-9.850795
20679233,20678560,0.115208976,-0.038727462,-9.85459
20726698,20726018,0.22470264,0.05872926,-9.81611
20782051,20781386,0.09095625,-0.10241151,-9.745148
20829614,20828845,0.14552477,-0.07388036,-9.756326
20880936,20880257,0.109490044,0.06806053,-9.840871
20932348,20931670,0.1520788,-0.14281142,-9.837303
20979800,20979128,0.19699489,-0.017509688,-9.786196
21031227,21030541,0.09741795,0.015453961,-9.753776
21078714,21077999,0.11363956,-0.11821738,-9.827145
21130085,21129412,0.17864262,0.017119795,-9.86475
21181532,21180826,0.095920086,-0.029506046,-9.844185
21228955,21228283,0.13678885,-0.08744508,-9.803951
21280374,21279696,0.15504035,0.0146944625,-9.797883
21331844,21331109,0.108631365,-0.065339625,-9.827893
21379377,21378567,0.14102331,-0.028098939,-9.845187
21426758,21426036,0.13018984,-0.00488921,-9.821498
21482068,21481393,0.13062207,-0.052411202,-9.786638
21529557,21528852,0.15857485,-0.024336716,-9.8122425
21581005,21580264,0.1091656,-0.038104832,-9.785722
21632355,21631678,0.16984549,-0.063716,-9.797313
21679818,21679136,0.124769434,0.017005643,-9.794417
21731231,21730549,0.142727,-0.077268615,-9.758677
21778804,21778007,0.15880139,-0.021290649,-9.781176
21830099,21829423,0.11317318,-0.020634543,-9.800542
21881570,21880833,0.15878865,-0.06630503,-9.825519
21928958,21928291,0.13199612,-0.008898852,-9.801231
21980391,21979704,0.14277287,-0.03809943,-9.808991
22031829,22031118,0.1273307,-0.06597884,-9.825284
22079271,22078575,0.16818507,-0.015997406,-9.830875
22126736,22126033,0.2081804,-0.0074883937,-9.765258
22182064,22181401,-0.0028011499,-0.053519238,-9.789619
22229551,22228859,0.13964128,-0.03859804,-9.749043
22280952,22280272,0.27195305,-0.0072732824,-9.762506
22332378,22331685,0.065180786,-0.06363712,-9.770682
22379821,22379143,0.14287572,-0.030140154,-9.784934
22431312,22430556,0.10829869,-0.03693702,-9.808373
22478729,22478015,0.18227871,-0.028579202,-9.817727
22530110,22529428,0.1361095,-0.048263684,-9.8277235
22581588,22580841,0.09990936,-0.02340822,-9.78897
