timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
41216877,41216158,2490386,2490386,-1.1289377e-05,2.0887444e-05,7.906044e-05,0.0008540472,-0.00010396382,-0.03888807,3956,3956,0,1,1
41719139,41718432,2490386,2490386,-1.6439486e-05,-5.4592433e-06,7.415403e-06,0.0019117295,0.00044832856,-0.038659733,3961,3961,0,1,1
42217453,42216741,2490386,2490386,-2.0531137e-05,9.592798e-06,3.1323307e-05,0.00033734224,-0.00014435922,-0.038806923,3955,3955,0,1,1
42719772,42719010,2490386,2490386,6.010546e-07,1.1946167e-05,4.9021974e-06,0.0007369938,0.00019200137,-0.038680334,3955,3955,0,1,1
43218051,43217325,2490386,2490386,-6.3638413e-06,1.9998153e-05,9.753773e-06,0.00051762024,-0.00039361796,-0.038659934,3955,3955,0,1,1
43716357,43715640,2490386,2490386,3.1564148e-06,-2.529595e-05,1.127762e-06,4.6906094e-05,-0.00015199241,-0.03835272,3955,3955,0,1,1
44218620,44217910,2490386,2490386,-4.0760674e-06,2.1560963e-05,1.47891005e-05,0.0013001941,-0.00011103517,-0.03879838,3955,3955,0,1,1
44716928,44716226,2490386,2490386,-1.0666467e-05,1.4517846e-05,-5.938241e-06,0.00090287754,-0.00013093263,-0.0386846,3956,3956,0,1,1
45219245,45218494,2490386,2490386,1.4526604e-06,8.909449e-06,4.9329727e-05,0.0003719053,-0.000865523,-0.039308105,3955,3955,0,1,1
45717512,45716810,2490386,2490386,-1.677426e-05,2.4292493e-05,3.430378e-05,0.00036529356,0.00022175272,-0.03817278,3955,3955,0,1,1
46219784,46219079,2490386,2490386,-1.067318e-05,1.1592501e-05,-5.603585e-06,0.0011957209,-0.00040988307,-0.038471855,3954,3954,0,1,1
46714157,46713440,2490386,2490386,-9.802232e-06,1.7426755e-05,1.827166e-05,0.0006613475,-0.00012425164,-0.038639236,3955,3955,0,1,1
47216420,47215714,2490386,2490386,-7.52343e-06,1.7849983e-05,1.8865712e-05,0.00067159167,-0.00014767195,-0.038749877,3959,3959,0,1,1
