timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
174106438,174105126,1.5376942e-08,3.6044542e-06,6.907577e-05,0.00013036488,0.0002920298,0.00032703605,67109915,0,0.5800815,0.06566334,0.061710462,0.0019012286,nan,0.00068770075,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
174304812,174302864,1.5090478e-08,3.5598894e-06,6.969336e-05,0.00019182573,0.00016603696,0.00016484848,67109915,0,0.5800888,0.07466391,0.08632849,0.0023546915,nan,0.00068770075,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
174506500,174504567,1.5270519e-08,3.5630765e-06,7.0047325e-05,0.00019687947,0.0002896234,0.00038552072,67109915,0,0.5800951,0.065245494,0.07000249,0.0021223135,nan,0.0011987645,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
174703722,174702315,1.4787348e-08,3.5123396e-06,7.1043316e-05,0.000102545455,0.0002911906,0.00020168645,67109915,0,0.5801037,0.07418529,0.013654443,0.0025683066,nan,0.0011987645,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
174905369,174904019,1.4648914e-08,3.5029716e-06,7.1917806e-05,0.00011508854,0.00047668105,0.0004473282,67109915,0,0.5801097,0.06483081,0.03700201,0.0026920682,nan,0.0013866283,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
175095134,175093857,1.4989036e-08,3.5888634e-06,7.228206e-05,0.00015401715,0.0003368663,0.00023486221,67109915,0,0.58011734,0.073236965,0.17532867,1.0219606e-05,nan,0.0013866283,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
175305467,175303470,1.4869066e-08,3.567749e-06,7.070583e-05,0.00041879778,0.0003543025,0.00049567065,67109915,0,0.5801226,0.064419255,0.11709411,0.0014602124,nan,0.0013220044,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
175506627,175505174,1.4542517e-08,3.5496196e-06,6.974588e-05,0.00034468673,0.00019343763,0.00027644486,67109915,0,0.58013123,0.07323694,0.14923997,0.0012287596,nan,0.0013220044,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
175704367,175702922,1.4681615e-08,3.4841464e-06,6.867774e-05,0.0001867506,0.00041077213,0.00037424287,67109915,0,0.58013743,0.06401085,0.07600471,0.00092558184,nan,0.0012447464,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
175905978,175904625,1.4618256e-08,3.4354525e-06,6.669748e-05,0.00021425939,0.00047337898,0.00019611394,67109915,0,0.580146,0.072767206,0.09740102,0.013751407,nan,0.0012447464,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,367,4,0,4,0,2,0,0,0,0,0,0,0
