timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
235561743,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
236063841,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
236563862,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
237073797,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
237575024,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
238077674,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
238586931,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
239087860,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
239597832,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
240105892,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
240607771,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
241117797,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
241620364,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
242122373,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
242625133,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
243135859,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
243639927,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
244151340,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
244658822,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
245161797,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
245661966,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
246166831,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
246667105,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
247170815,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
247672798,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
248172927,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
248681934,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
249183810,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
249683840,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
250186393,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
250694849,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
251196868,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
251697229,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
252198394,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
252702045,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
253202901,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
253705811,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
254216151,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
254717803,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
255227369,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
255738332,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
256238854,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
256740815,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
257249970,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
257750354,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
258260812,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
258760839,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
259263891,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
259763933,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
260273860,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
260784192,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
261288881,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
261789888,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
262295834,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
262804883,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
263307813,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
263809849,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
264319015,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
264829945,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
265332222,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
265838200,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
266344285,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
266846219,97615566,0,207017240,209843839,271155244,270630924,271548431,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
